NAME,2019_population,STATE,COUNTY,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values,GEO_ID,LAND AREA,WATER AREA,LATITUDE,LONGITUDE,SSP3_2020,SSP3_2025,SSP3_2030,SSP3_2035,SSP3_2040,Population_Delta,Population_Delta_Raw,Population_pct_change,HV_pct_change,Population_Price_Discrepancy
"District of Columbia, District of Columbia",705749,11,1,702455,693972,681170,672228,658893,646449,632323,617996,604453,599657,591833,588292,581530,515118,646500,617900,607200,576100,551300,486900,470500,460700,422400,426900,443700,474100,450900,437700,384400,11001,158114680.0,18884970.0,38.9041485,-77.0170942,731105.2824,787842.1713,841426.9186,892596.8205,940919.2957,0.07760426612395656,56736.88890000002,0.3700724882454117,0.6818418314255983,0.31176934318018656
"Lee County, Florida",770577,12,71,754610,739224,722336,701982,679513,661115,645293,631330,620151,586908,593136,590564,571344,539097,244700,235000,225300,210900,184200,163400,154800,137600,128300,149500,163600,211700,241100,270100,223100,12071,2031879249.0,1108380339.0,26.5521343,-81.8922499,770969.4267,837887.0481,896107.0513,947015.9271,990492.7908,0.08679672511325029,66917.62140000006,0.42938469329267276,0.09681757059614522,-0.33256712269652755
"Montgomery County, Texas",607391,48,339,590925,570934,556203,537559,518947,499137,485047,471734,459018,447718,429953,412638,398290,376051,264200,245000,235400,225600,201300,187200,171300,167500,170600,159800,165300,163200,150400,144200,138600,48339,2698080682.0,91022528.0,30.3023644,-95.5035226,611876.2822,683220.4429,750393.4167,814788.6457,875252.3498,0.11659899684864759,71344.16070000001,0.6151825151375744,0.9062049062049062,0.29102239106733185
"Gwinnett County, Georgia",936250,13,135,927781,920260,907135,895823,877922,859304,842046,824941,808719,808167,789499,776380,757104,719398,250200,232600,220000,194500,183200,172900,159300,159600,166400,180600,190300,206900,201800,193100,182800,13135,1114687261.0,16555611.0,33.9591011,-84.0229381,980225.3734,1057872.781,1127909.562,1192933.014,1251645.034,0.07921383154026394,77647.40759999992,0.30143536679279065,0.3687089715536105,0.06727360476081984
"Williamson County, Texas",590551,48,491,566719,547545,528718,508514,489250,471014,456232,442782,426645,410686,394193,373363,353830,328421,300200,283000,272500,242000,227000,212300,187900,179600,176500,175100,175300,178600,170900,160400,157300,48491,2896391221.0,41793130.0,30.6490296,-97.6050692,590871.1363,668658.7483,741350.4299,810445.363,875244.6146,0.13164903008649462,77787.61199999996,0.7981523714987775,0.9084551811824539,0.11030280968367645
"Denver County, Colorado",727211,8,31,716492,704621,693060,682545,663862,649495,634265,619968,604414,610345,598707,588349,566974,545198,447500,435100,395100,360900,316700,283100,263900,251200,247800,250100,244600,246500,234500,236100,231900,8031,396268588.0,4225359.0,39.7618487,-104.8806251,766256.4961,844661.7864,919672.9967,992879.8189,1060100.916,0.1023225130214984,78405.2903,0.3338475196167264,0.9297110823630875,0.5958635627463611
"Mecklenburg County, North Carolina",1110356,37,119,1093901,1076837,1054835,1034070,1012539,990977,969031,944373,923427,913639,890515,867067,827445,780618,271500,253000,234100,221400,203700,189900,176600,178900,177300,187400,186900,200900,186400,172000,166500,37119,1356745512.0,57153194.0,35.2468623,-80.8338317,1146335.636,1249148.996,1344975.998,1436832.252,1521373.972,0.0896887061443496,102813.3600000001,0.4224063498407672,0.6306306306306306,0.20822428078986344
"Wake County, North Carolina",1111761,37,183,1092305,1072203,1046791,1024198,998691,974289,952151,929780,906969,897214,866410,832970,786522,730138,316800,301900,276000,268400,252500,237400,224100,227400,225700,232800,231400,235000,213700,203500,190000,37183,2163206258.0,57246693.0,35.7898464,-78.650624,1135249.259,1239198.663,1334202.717,1423094.126,1503081.846,0.09156526919168846,103949.40399999986,0.5226724263084512,0.6673684210526316,0.14469599474418038
"Denton County, Texas",887207,48,121,859064,836210,806180,780612,753363,728799,707304,686406,667053,658616,636557,612357,584238,544511,314300,305200,280600,251400,224600,205000,190600,183800,180800,179800,180300,184900,179100,171700,163700,48121,2275129231.0,193070701.0,33.2050051,-97.119046,896861.3394,1008031.995,1112137.616,1210595.883,1301863.85,0.12395523222616896,111170.65559999994,0.6293646960300159,0.919975565058033,0.29061086902801714
"Collin County, Texas",1034730,48,85,1005146,969603,939585,914127,885241,854778,834642,812226,788407,791631,762010,730690,698851,655994,354100,340600,323500,288100,261800,232100,216200,206700,204000,203700,205000,205100,196800,191000,185300,48085,2178761906.0,116235513.0,33.1938849,-96.5781528,1040872.875,1158440.675,1266767.682,1368370.612,1461944.038,0.11295116130295935,117567.80000000005,0.5773467440250978,0.9109552077711819,0.3336084637460841
"Fort Bend County, Texas",811688,48,157,787858,764828,741237,716087,685345,652365,627293,606953,590350,556870,532141,509822,493187,457225,285600,276900,264000,258800,239400,210400,194100,187000,180000,176100,180500,176800,168800,161600,153100,48157,2231225129.0,61796736.0,29.5266017,-95.7710149,840492.7622,960625.444,1073517.073,1180768.038,1281467.146,0.1429312508123821,120132.68180000002,0.7752485100333534,0.8654474199869366,0.09019890995358326
"Orange County, Florida",1393452,12,95,1380645,1348975,1314367,1288126,1253001,1225267,1202234,1169107,1149500,1086480,1072801,1066113,1043500,1002849,266700,259000,234400,214000,190700,171100,158100,150200,155500,174200,205200,243400,263000,254300,201900,12095,2339870128.0,258560561.0,28.514435,-81.323295,1422030.688,1550152.205,1669260.391,1779833.519,1880185.308,0.09009757530633543,128121.51699999999,0.3894933334928788,0.3209509658246657,-0.06854236766821309
"Travis County, Texas",1273954,48,453,1248743,1226698,1199323,1176558,1151145,1120954,1095584,1063130,1030806,1026158,998543,974365,921006,866349,362300,355200,321400,304100,277100,245600,231700,217600,217900,214100,215300,212300,195100,173200,171100,48453,2564612388.0,84967219.0,30.2395128,-97.6912697,1332640.163,1477234.365,1611728.46,1739771.386,1855821.719,0.10850205930646264,144594.20200000005,0.47048591272108586,1.1174751607247224,0.6469892480036366
"Bexar County, Texas",2003554,48,29,1986049,1958578,1928680,1897753,1855866,1817610,1785704,1756153,1723780,1651448,1622899,1594493,1555592,1482598,185900,169700,160100,150200,142100,133500,126500,123000,122300,125300,119500,121300,113200,100300,94200,48029,3211119983.0,42127509.0,29.4486708,-98.5201465,2070426.56,2230618.337,2377762.576,2518022.296,2649949.597,0.07737138814525243,160191.77699999977,0.3513804820996656,0.9734607218683652,0.6220802397686995
