NAME,2019_population,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values
"Beaver County, Pennsylvania",163929,164742,166140,167429,168871,169392,170115,170245,170414,170567,171673,172476,173074,175736,173086,154100,140800,138300,137600,131500,119600,120500,112100,114900,115700,114200,110400,113500,108700,103400
"Carroll County, Maryland",168447,168429,167781,167656,167627,167830,167564,167217,167288,167241,170089,169353,169220,170260,164663,355700,348500,336700,334900,330700,325100,314100,321900,321300,332800,342200,354800,371400,363800,313400
"Hamilton County, Ohio",817473,816684,813822,809099,807598,806631,804520,802038,800362,802252,855062,851494,842369,822596,786982,172300,162100,151600,150100,144000,140000,140900,141100,142300,149400,145900,153100,148200,147700,137300
"Washington County, Pennsylvania",206865,207346,207298,207981,208261,208187,208206,208716,208282,207875,207389,206407,205553,206432,200938,177100,165000,171100,167100,165200,152100,145300,150600,147800,140600,129600,139500,128000,124000,114600
"Wayne County, Ohio",115710,115967,116038,116470,116063,115537,115071,114848,114611,114505,114222,113812,113554,113950,110327,161100,155800,149600,139600,138700,139900,130700,133200,137800,139000,133600,137100,144100,128500,129600
"Dodge County, Wisconsin",87839,87847,87786,88068,88502,88574,88344,88415,88661,88748,87335,87912,87786,88983,82177,173400,173800,164700,160600,154100,152200,150300,153800,158100,154600,156700,162400,159900,149900,142100
"Morgan County, Indiana",70489,70116,69713,69698,69648,69693,69782,69356,69464,69061,70876,70668,69874,70290,69141,171100,158400,163600,147100,156900,140400,135400,142800,141800,146700,145200,140800,144800,137100,135500
"Stark County, Ohio",370606,371574,372542,373612,375165,375736,375432,374868,375087,375321,379466,379214,378664,380575,371677,144600,137100,132200,129800,126400,124400,121400,118700,123600,123700,127400,130000,131000,128200,125900
"Cullman County, Alabama",83768,83442,82755,82471,82005,81289,80811,80440,80536,80459,81778,81324,80554,80187,78888,137600,127700,123700,133100,128600,109100,117400,109200,112000,87000,102500,106600,106800,108600,96200
"Newport News city, Virginia",179225,178626,179388,181825,182385,182965,182020,180726,179611,180712,193172,179614,179153,178281,176591,186600,204900,192500,185000,196400,184900,184600,194400,204200,205100,214200,214500,190700,173900,152000
"Lycoming County, Pennsylvania",113299,113664,113841,115248,116048,116508,116754,117168,116747,116143,116840,116670,116811,117668,112735,161800,161200,160800,152800,147500,144100,133600,130500,135200,127000,126500,125200,116100,110700,101500
"Garland County, Arkansas",99386,99154,98658,97477,97177,97322,97173,96903,97124,96145,98479,97465,96371,95164,91690,139100,149500,140400,142600,134500,124800,121500,144300,125300,133900,127200,127100,127000,119000,112100
"St. Landry Parish, Louisiana",82124,82764,83497,83883,83848,83709,83454,83662,83552,83454,92326,92173,91362,91528,88409,112700,129200,109100,108500,89400,94300,86800,100200,94200,77800,76000,86900,89300,77700,82700
"Jones County, Mississippi",68098,68461,67930,67953,68215,68290,68961,68641,68075,67870,67776,67764,68553,66022,66425,104900,113900,86800,93400,92300,84300,76900,82700,96500,75400,82600,84300,87100,66400,61700
